id,tyc,gaia,hyg,hip,hd,hr,gl,bayer,flam,con,proper,ra,dec,pos_src,dist,x0,y0,z0,dist_src,mag,absmag,ci,mag_src,rv,rv_src,pm_ra,pm_dec,pm_src,vx,vy,vz,spect,spect_src
5000000,,35227046884571776,,,,,10393,,,Ari,"Teegarden's Star",2.883581,16.8812867,OTHER,3.832,,,,OTHER,15.14,17.22,,OTHER,68.3,OTHER,,,OTHER,,,,M6 V,OTHER
5000001,,2899044483183566720,,,,,,,,CMa,"LHS 1847",6.42186,-26.82195,OTHER,32.5125,,,,OTHER,13.2,10.64,,OTHER,,OTHER,,,OTHER,,,,M2 V,OTHER
5000002,,2635476908753563008,,,,,,,,Aqr,"TRAPPIST-1",23.1081579,-5.041399,OTHER,12.47,,,,OTHER,18.798,18.32,,OTHER,,OTHER,,,OTHER,,,,M8 V,OTHER
