v3_start,v3_end,offset,match_method
8570,8596,29,gaia
8597,8597,29,tyc
8598,8658,29,gaia
8659,8659,29,tyc
8660,8948,29,gaia
8949,8949,29,tyc
8950,9023,29,gaia
9024,9024,29,tyc
9025,9064,29,gaia
9065,9065,29,tyc
9066,9066,29,gaia
9067,9067,29,tyc
9068,9335,29,gaia
9336,9336,29,tyc
9337,9446,29,gaia
9447,9447,29,tyc
9448,9544,29,gaia
9545,9545,29,tyc
9546,9711,29,gaia
9712,9712,29,tyc
9713,9757,29,gaia
9758,9758,29,tyc
9759,9791,29,gaia
9792,9792,29,tyc
9793,9836,29,gaia
9837,9850,30,gaia
9851,9851,30,tyc
9852,9909,30,gaia
9910,9910,30,tyc
9911,9945,30,gaia
9946,9946,30,tyc
9947,9951,30,gaia
9952,10006,31,gaia
10007,10007,31,tyc
10008,10127,31,gaia
10128,10128,31,tyc
10129,10131,31,gaia
10132,10132,31,tyc
10133,10216,31,gaia
10217,10228,32,gaia
10229,10229,32,tyc
10230,10270,32,gaia
10271,10271,32,tyc
10272,10290,32,gaia
10291,10311,33,gaia
10312,10312,33,tyc
10313,10347,33,gaia
10348,10348,33,tyc
10349,10690,33,gaia
10691,10691,33,tyc
10692,10756,33,gaia
10757,10801,34,gaia
10802,10802,34,tyc
10803,10811,34,gaia
10812,10812,34,tyc
10813,10912,34,gaia
10913,10913,34,tyc
10914,11153,34,gaia
11154,11154,34,tyc
11155,11218,34,gaia
11219,11219,34,tyc
11220,11242,34,gaia
11243,11288,35,gaia
11289,11289,35,tyc
11290,11312,35,gaia
11313,11313,35,tyc
11314,11358,35,gaia
11359,11407,36,gaia
11408,11408,36,tyc
11409,11438,36,gaia
11439,11439,36,tyc
11440,11466,36,gaia
11467,11467,36,tyc
11468,11523,36,gaia
11524,11524,36,tyc
11525,11747,36,gaia
11748,11748,36,tyc
11749,11755,36,gaia
11756,11756,36,tyc
11757,11813,36,gaia
11814,11983,37,gaia
11984,11984,37,tyc
11985,12022,37,gaia
12023,12023,37,tyc
12024,12287,37,gaia
12288,12342,38,gaia
12343,12343,38,tyc
12344,12358,38,gaia
12359,12359,38,tyc
12360,12362,38,gaia
12363,12363,38,tyc
12364,12383,38,gaia
12384,12384,38,tyc
12385,12481,38,gaia
12482,12482,38,tyc
12483,12585,38,gaia
12586,12586,38,tyc
12587,12616,39,gaia
12617,12617,39,tyc
12618,12634,39,gaia
12635,12635,39,tyc
12636,12792,39,gaia
12793,12793,39,tyc
12794,12923,39,gaia
12924,12924,39,tyc
12925,12935,39,gaia
12936,12936,39,tyc
12937,12983,39,gaia
12984,13163,40,gaia
13164,13164,40,tyc
13165,13248,40,gaia
13249,13364,41,gaia
13365,13365,41,tyc
13366,13377,41,gaia
13378,13378,41,tyc
13379,13387,41,gaia
13388,13388,41,tyc
13389,13393,41,gaia
13394,13394,41,tyc
13395,13449,41,gaia
13450,13518,42,gaia
13519,13519,42,tyc
13520,13533,42,gaia
13534,13553,43,gaia
13554,13554,43,tyc
13555,13661,43,gaia
13662,13681,44,gaia
13682,13682,44,tyc
